,art_movement,primary_medium,pl,sh,representation,spatial_dimension,s_no,labels
0,28,2,2,3,1,0,2,14
1,5,5,4,2,1,1,3,13
2,19,2,3,4,1,0,4,11
3,4,2,4,4,0,0,5,8
4,4,2,1,4,0,0,6,8
5,9,2,5,0,0,0,7,4
6,25,2,2,1,1,0,8,16
7,9,3,1,1,1,0,9,18
8,4,4,3,3,0,0,10,8
9,22,1,2,1,0,1,11,16
10,28,3,3,4,1,0,12,14
11,4,4,3,1,0,0,13,6
12,19,3,4,2,1,0,14,7
13,25,3,3,0,1,0,15,16
14,9,3,2,1,1,0,16,18
15,4,2,4,4,0,0,17,8
16,9,0,3,0,0,0,18,4
17,23,0,2,5,1,0,19,1
18,21,2,4,4,1,0,20,11
19,25,2,4,4,1,0,21,2
20,11,2,3,4,0,0,22,12
21,9,3,4,4,1,0,23,0
22,25,2,1,4,0,0,24,1
23,9,1,4,4,0,1,25,15
24,9,3,4,4,1,0,26,0
25,9,4,0,4,1,0,27,17
26,25,0,4,1,0,0,28,16
27,9,0,2,4,0,0,29,5
28,25,2,2,4,1,0,30,1
29,4,1,2,0,0,1,31,6
30,9,5,4,4,0,1,32,3
31,25,2,4,4,1,0,33,2
32,28,2,4,4,1,0,34,14
33,9,4,4,3,1,0,35,3
34,4,5,0,4,0,1,36,17
35,22,4,4,4,0,0,37,11
36,25,2,4,4,1,0,38,2
37,4,2,2,4,0,0,39,8
38,4,4,4,4,0,0,40,8
39,4,5,4,1,0,1,41,6
40,19,3,5,2,1,0,42,7
41,4,5,4,2,0,1,43,13
42,22,1,5,1,0,1,44,16
43,4,2,2,4,0,0,45,8
44,4,2,4,1,0,1,46,6
45,4,0,4,1,0,0,47,6
46,7,2,3,4,0,0,48,0
47,4,2,4,2,0,0,49,6
48,25,2,4,4,1,0,50,2
49,4,2,4,4,0,0,51,8
50,9,3,4,2,1,0,52,3
51,8,3,1,2,0,0,53,18
52,25,3,2,3,1,0,54,1
53,22,5,4,2,0,1,55,11
54,9,2,3,2,0,0,56,15
55,23,5,1,4,0,1,57,11
56,4,2,5,3,0,0,58,6
57,23,1,4,4,1,1,59,2
58,23,2,4,4,0,0,60,2
59,9,0,3,3,0,0,61,15
60,23,2,2,0,0,0,62,16
61,4,2,2,2,0,0,63,8
62,7,2,5,2,1,0,64,0
63,0,2,1,2,1,0,65,8
64,9,6,4,1,1,0,66,3
65,4,0,0,5,0,0,67,8
66,9,3,2,0,0,0,68,18
67,7,3,3,1,1,0,69,18
68,22,2,0,5,0,0,70,11
69,23,1,3,1,1,1,71,16
70,4,2,3,1,0,0,72,6
71,10,1,4,0,0,1,73,15
72,7,5,4,2,1,1,74,13
73,18,2,2,0,0,0,75,7
74,4,1,4,1,0,1,76,6
75,27,4,4,4,0,0,77,14
76,16,5,2,0,0,1,78,10
77,28,2,5,3,1,0,79,14
78,27,2,4,4,0,0,80,14
79,4,2,5,1,0,0,81,6
80,12,5,4,4,1,1,82,3
81,28,3,3,3,0,0,83,14
82,9,3,4,4,1,0,84,0
83,9,3,5,2,1,0,85,3
84,9,5,5,2,1,1,86,3
85,18,4,1,5,0,0,87,11
86,18,2,2,1,0,0,88,7
87,10,2,4,0,0,0,89,15
88,10,5,2,1,0,1,90,3
89,18,3,4,0,1,0,91,7
90,9,3,5,2,1,0,92,3
91,9,5,5,1,1,1,93,3
92,9,3,4,2,1,0,94,3
93,16,5,0,2,0,1,95,10
94,4,2,3,3,0,0,96,8
95,5,5,5,1,0,1,97,13
96,7,1,3,3,0,1,98,19
97,7,4,1,3,0,0,99,17
98,24,2,4,3,1,0,100,2
99,28,2,3,5,0,0,101,14
100,4,4,4,4,0,0,102,8
101,18,1,3,0,0,1,103,7
102,18,5,5,1,0,1,104,7
103,28,2,4,4,1,0,105,14
104,9,6,4,2,1,1,106,3
105,9,1,4,2,1,1,107,15
106,4,2,2,2,0,0,108,8
107,19,2,4,4,0,0,109,11
